Rep: 0, ExecutionTime: 0.000792
Rep: 1, ExecutionTime: 0.000251
Rep: 2, ExecutionTime: 0.000290
Rep: 3, ExecutionTime: 0.000253
Rep: 4, ExecutionTime: 0.000258
Rep: 5, ExecutionTime: 0.000236
Rep: 6, ExecutionTime: 0.000244
Rep: 7, ExecutionTime: 0.000235
Rep: 8, ExecutionTime: 0.000216
Rep: 9, ExecutionTime: 0.000197
Rep: 10, ExecutionTime: 0.000241
Rep: 11, ExecutionTime: 0.000268
Rep: 12, ExecutionTime: 0.000151
Rep: 13, ExecutionTime: 0.000156
Rep: 14, ExecutionTime: 0.000177
Rep: 15, ExecutionTime: 0.000175
Rep: 16, ExecutionTime: 0.000180
Rep: 17, ExecutionTime: 0.000170
Rep: 18, ExecutionTime: 0.000159
Rep: 19, ExecutionTime: 0.000178
Rep: 20, ExecutionTime: 0.000175
Rep: 21, ExecutionTime: 0.000193
Rep: 22, ExecutionTime: 0.000173
Rep: 23, ExecutionTime: 0.000173
Rep: 24, ExecutionTime: 0.000164
Rep: 25, ExecutionTime: 0.000171
Rep: 26, ExecutionTime: 0.000173
Rep: 27, ExecutionTime: 0.000165
Rep: 28, ExecutionTime: 0.000149
Rep: 29, ExecutionTime: 0.000161
Rep: 30, ExecutionTime: 0.000152
Rep: 31, ExecutionTime: 0.000160
Rep: 32, ExecutionTime: 0.000184
Rep: 33, ExecutionTime: 0.000161
Rep: 34, ExecutionTime: 0.000175
Rep: 35, ExecutionTime: 0.000162
Rep: 36, ExecutionTime: 0.000148
Rep: 37, ExecutionTime: 0.000147
Rep: 38, ExecutionTime: 0.000164
Rep: 39, ExecutionTime: 0.000151
Rep: 40, ExecutionTime: 0.000150
Rep: 41, ExecutionTime: 0.000141
Rep: 42, ExecutionTime: 0.000184
Rep: 43, ExecutionTime: 0.000152
Rep: 44, ExecutionTime: 0.000156
Rep: 45, ExecutionTime: 0.000151
Rep: 46, ExecutionTime: 0.000152
Rep: 47, ExecutionTime: 0.000164
Rep: 48, ExecutionTime: 0.000162
Rep: 49, ExecutionTime: 0.000175
Rep: 50, ExecutionTime: 0.000174
Rep: 51, ExecutionTime: 0.000160
Rep: 52, ExecutionTime: 0.000167
Rep: 53, ExecutionTime: 0.000162
Rep: 54, ExecutionTime: 0.000184
Rep: 55, ExecutionTime: 0.000157
Rep: 56, ExecutionTime: 0.000173
Rep: 57, ExecutionTime: 0.000159
Rep: 58, ExecutionTime: 0.000162
Rep: 59, ExecutionTime: 0.000167
Rep: 60, ExecutionTime: 0.000180
Rep: 61, ExecutionTime: 0.000179
Rep: 62, ExecutionTime: 0.000182
Rep: 63, ExecutionTime: 0.000173
Rep: 64, ExecutionTime: 0.000172
Rep: 65, ExecutionTime: 0.000194
Rep: 66, ExecutionTime: 0.000161
Rep: 67, ExecutionTime: 0.000171
Rep: 68, ExecutionTime: 0.000160
Rep: 69, ExecutionTime: 0.000161
Rep: 70, ExecutionTime: 0.000173
Rep: 71, ExecutionTime: 0.000163
Rep: 72, ExecutionTime: 0.000149
Rep: 73, ExecutionTime: 0.000142
Rep: 74, ExecutionTime: 0.000146
Rep: 75, ExecutionTime: 0.000152
Rep: 76, ExecutionTime: 0.000167
Rep: 77, ExecutionTime: 0.000152
Rep: 78, ExecutionTime: 0.000138
Rep: 79, ExecutionTime: 0.000131
Rep: 80, ExecutionTime: 0.000165
Rep: 81, ExecutionTime: 0.000173
Rep: 82, ExecutionTime: 0.000167
Rep: 83, ExecutionTime: 0.000154
Rep: 84, ExecutionTime: 0.000152
Rep: 85, ExecutionTime: 0.000143
Rep: 86, ExecutionTime: 0.000150
Rep: 87, ExecutionTime: 0.000147
Rep: 88, ExecutionTime: 0.000139
Rep: 89, ExecutionTime: 0.000134
Rep: 90, ExecutionTime: 0.000152
Rep: 91, ExecutionTime: 0.000152
Rep: 92, ExecutionTime: 0.000161
Rep: 93, ExecutionTime: 0.000137
Rep: 94, ExecutionTime: 0.000136
Rep: 95, ExecutionTime: 0.000148
Rep: 96, ExecutionTime: 0.000159
Rep: 97, ExecutionTime: 0.000138
Rep: 98, ExecutionTime: 0.000145
Rep: 99, ExecutionTime: 0.000132
Mean time: 0.000176
